"The Candler Hotel Atlanta, Curio Collection by Hilton","33,509",Atlanta_Georgia,5,557,Free Wifi ,#1 Best Value of 289 places to stay in Atlanta
Hotel Clermont,"31,051",Atlanta_Georgia,5,645,Free Wifi ,#2 Best Value of 289 places to stay in Atlanta
Artmore Hotel,"20,821",Atlanta_Georgia,4.5,"2,094",Free Wifi ,#3 Best Value of 289 places to stay in Atlanta
Drury Inn & Suites Atlanta Airport,"17,852",Atlanta_Georgia,4.5,774,Free Wifi ,#4 Best Value of 289 places to stay in Atlanta
Hyatt Regency Atlanta,"19,780",Atlanta_Georgia,4,"6,316",Free Wifi ,#5 Best Value of 289 places to stay in Atlanta
Hyatt House Atlanta/Downtown,"21,849",Atlanta_Georgia,4,"1,181",Visit hotel website ,Not available
Hilton Atlanta,"15,295",Atlanta_Georgia,3.5,"1,343",Restaurant ,#6 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites Atlanta Midtown,"21,218",Atlanta_Georgia,4.5,129,Free Wifi ,#7 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta / Centennial Park,"21,580",Atlanta_Georgia,4,284,Free Wifi ,#8 Best Value of 289 places to stay in Atlanta
The American Hotel Atlanta Downtown - a DoubleTree by Hilton,"20,959",Atlanta_Georgia,4,648,Pool ,#9 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta Downtown,"18,975",Atlanta_Georgia,4,"2,172",Free Wifi ,#10 Best Value of 289 places to stay in Atlanta
Canopy by Hilton Atlanta Midtown,"21,218",Atlanta_Georgia,4.5,396,Free Wifi ,#11 Best Value of 289 places to stay in Atlanta
The Georgian Terrace Hotel,"34,685",Atlanta_Georgia,4,"2,293",Free Wifi ,#12 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites Atlanta - Galleria,"21,390",Atlanta_Georgia,4.5,770,Free Wifi ,#13 Best Value of 289 places to stay in Atlanta
"The Westin Peachtree Plaza, Atlanta","26,147",Atlanta_Georgia,4,"3,614",Pool ,#14 Best Value of 289 places to stay in Atlanta
